yr,cluster_id,full_name,country,field,indicator,value
2014,17568863,"phillips, pcb",United Kingdom,Economics,cum_cit,14571
2015,17568863,"phillips, pcb",United Kingdom,Economics,cum_cit,15900
2016,17568863,"phillips, pcb",United Kingdom,Economics,cum_cit,17200
2017,17568863,"phillips, pcb",United Kingdom,Economics,cum_cit,18494
2018,17568863,"phillips, pcb",United Kingdom,Economics,cum_cit,19881
2019,17568863,"phillips, pcb",United Kingdom,Economics,cum_cit,21477
1980,21435142,"robinson, pm",United Kingdom,Economics,cum_cit,0
1981,21435142,"robinson, pm",United Kingdom,Economics,cum_cit,0
1982,21435142,"robinson, pm",United Kingdom,Economics,cum_cit,2
1983,21435142,"robinson, pm",United Kingdom,Economics,cum_cit,2
1984,21435142,"robinson, pm",United Kingdom,Economics,cum_cit,11
1985,21435142,"robinson, pm",United Kingdom,Economics,cum_cit,12
1986,21435142,"robinson, pm",United Kingdom,Economics,cum_cit,15
1987,21435142,"robinson, pm",United Kingdom,Economics,cum_cit,22
1988,21435142,"robinson, pm",United Kingdom,Economics,cum_cit,35
1989,21435142,"robinson, pm",United Kingdom,Economics,cum_cit,61
1990,21435142,"robinson, pm",United Kingdom,Economics,cum_cit,80
1991,21435142,"robinson, pm",United Kingdom,Economics,cum_cit,100
1992,21435142,"robinson, pm",United Kingdom,Economics,cum_cit,128
1993,21435142,"robinson, pm",United Kingdom,Economics,cum_cit,158
1994,21435142,"robinson, pm",United Kingdom,Economics,cum_cit,200
1995,21435142,"robinson, pm",United Kingdom,Economics,cum_cit,260
1996,21435142,"robinson, pm",United Kingdom,Economics,cum_cit,348
1997,21435142,"robinson, pm",United Kingdom,Economics,cum_cit,428
1998,21435142,"robinson, pm",United Kingdom,Economics,cum_cit,518
1999,21435142,"robinson, pm",United Kingdom,Economics,cum_cit,612
2000,21435142,"robinson, pm",United Kingdom,Economics,cum_cit,743
2001,21435142,"robinson, pm",United Kingdom,Economics,cum_cit,931
2002,21435142,"robinson, pm",United Kingdom,Economics,cum_cit,1125
2003,21435142,"robinson, pm",United Kingdom,Economics,cum_cit,1367
2004,21435142,"robinson, pm",United Kingdom,Economics,cum_cit,1598
2005,21435142,"robinson, pm",United Kingdom,Economics,cum_cit,1866
